Customer ID,Purchase Date,Product Category,Product Price,Quantity,Total Purchase Amount,Payment Method,Customer Age,Returns,Customer Name,Age,Gender,Churn
44605,5/3/2023 21:30,Home,177,1,2427,PayPal,31,1,John Rivera,31,Female,0
44605,5/16/2021 13:57,Electronics,174,3,2448,PayPal,31,1,John Rivera,31,Female,0
44605,7/13/2020 6:16,Books,413,1,2345,Credit Card,31,1,John Rivera,31,Female,0
44605,1/17/2023 13:14,Electronics,396,3,937,Cash,31,0,John Rivera,31,Female,0
44605,5/1/2021 11:29,Books,259,4,2598,PayPal,31,1,John Rivera,31,Female,0
13738,8/25/2022 6:48,Home,191,3,3722,Credit Card,27,1,Lauren Johnson,27,Female,0
13738,7/25/2023 5:17,Electronics,205,1,2773,Credit Card,27,,Lauren Johnson,27,Female,0
13738,2/5/2023 19:31,Books,370,5,1486,Cash,27,1,Lauren Johnson,27,Female,0
13738,12/21/2021 3:29,Home,12,2,2175,Cash,27,,Lauren Johnson,27,Female,0
13738,2/9/2023 0:53,Electronics,40,4,4327,Cash,27,0,Lauren Johnson,27,Female,0
33969,2/28/2023 19:58,Clothing,410,3,5018,Credit Card,27,,Carol Allen,27,Male,0
33969,1/5/2023 11:15,Home,304,1,3883,PayPal,27,1,Carol Allen,27,Male,0
33969,7/18/2023 23:36,Books,54,2,4187,PayPal,27,0,Carol Allen,27,Male,0
33969,12/20/2021 23:44,Electronics,428,4,2289,Cash,27,0,Carol Allen,27,Male,0
33969,3/7/2020 21:31,Books,281,1,3810,Cash,27,0,Carol Allen,27,Male,0
33969,7/21/2022 4:25,Home,193,2,3198,Credit Card,27,0,Carol Allen,27,Male,0
33969,7/5/2023 15:01,Clothing,473,3,2881,Credit Card,27,1,Carol Allen,27,Male,0
42650,10/18/2020 23:38,Books,127,5,3347,Cash,20,0,Curtis Smith,20,Female,0
42650,5/17/2020 17:02,Home,284,2,3531,Credit Card,20,1,Curtis Smith,20,Female,0
42650,3/18/2022 13:52,Electronics,256,2,3548,Credit Card,20,0,Curtis Smith,20,Female,0
42650,4/21/2021 7:58,Clothing,252,2,1775,Credit Card,20,1,Curtis Smith,20,Female,0
42650,1/26/2022 12:50,Electronics,105,2,3721,Credit Card,20,,Curtis Smith,20,Female,0
42650,11/11/2020 7:19,Electronics,193,2,3266,PayPal,20,1,Curtis Smith,20,Female,0
42650,4/29/2023 23:31,Home,43,1,2312,Cash,20,0,Curtis Smith,20,Female,0
42650,7/4/2022 16:04,Home,30,5,642,PayPal,20,1,Curtis Smith,20,Female,0
42650,8/1/2021 5:27,Electronics,30,3,5024,Credit Card,20,1,Curtis Smith,20,Female,0
42650,5/24/2020 6:45,Electronics,307,3,973,PayPal,20,,Curtis Smith,20,Female,0
42650,3/24/2022 0:05,Electronics,254,1,3865,PayPal,20,0,Curtis Smith,20,Female,0
42650,9/2/2022 4:00,Books,12,3,3112,Cash,20,1,Curtis Smith,20,Female,0
42650,11/14/2021 10:23,Books,66,3,250,PayPal,20,1,Curtis Smith,20,Female,0
24053,11/17/2020 13:14,Electronics,102,2,5206,Credit Card,53,1,Jose Green,53,Male,0
24053,5/7/2021 9:54,Books,187,5,629,PayPal,53,1,Jose Green,53,Male,0
24053,9/7/2022 5:06,Books,86,1,843,Credit Card,53,1,Jose Green,53,Male,0
24053,7/5/2020 6:30,Electronics,364,3,1008,Credit Card,53,0,Jose Green,53,Male,0
24053,1/11/2022 10:56,Books,210,2,4567,Credit Card,53,0,Jose Green,53,Male,0
19676,1/12/2022 22:49,Clothing,304,3,4869,PayPal,57,1,Linda Lee,57,Male,0
19676,6/26/2021 23:49,Electronics,329,1,3391,Cash,57,1,Linda Lee,57,Male,0
19676,6/30/2022 6:11,Clothing,306,4,1712,Credit Card,57,1,Linda Lee,57,Male,0
19676,4/20/2020 14:08,Electronics,165,5,603,Credit Card,57,0,Linda Lee,57,Male,0
19676,3/23/2021 17:36,Electronics,218,4,2866,PayPal,57,,Linda Lee,57,Male,0
19917,5/16/2023 1:34,Clothing,392,3,1378,Credit Card,34,,Joshua Davis,34,Male,1
19917,10/27/2021 16:25,Clothing,238,3,1760,Credit Card,34,,Joshua Davis,34,Male,1
19917,12/9/2021 7:43,Books,174,5,4517,Credit Card,34,,Joshua Davis,34,Male,1
19917,10/18/2022 22:58,Electronics,41,2,743,Cash,34,,Joshua Davis,34,Male,1
16051,8/20/2021 23:25,Books,118,2,3672,Cash,45,0,Ellen Kent,45,Male,0
16051,2/14/2020 4:47,Clothing,14,4,2733,PayPal,45,0,Ellen Kent,45,Male,0
16051,11/28/2021 19:39,Home,424,1,631,Cash,45,,Ellen Kent,45,Male,0
16051,10/30/2020 10:38,Clothing,351,5,716,PayPal,45,0,Ellen Kent,45,Male,0
16051,11/25/2020 9:05,Clothing,89,1,3577,PayPal,45,1,Ellen Kent,45,Male,0
16051,9/13/2020 15:30,Home,287,3,3908,Cash,45,0,Ellen Kent,45,Male,0
16051,8/29/2021 21:13,Home,400,3,4889,Cash,45,1,Ellen Kent,45,Male,0
16051,4/19/2022 10:30,Clothing,22,2,4490,Credit Card,45,1,Ellen Kent,45,Male,0
16051,5/31/2020 20:52,Home,23,1,3820,Credit Card,45,0,Ellen Kent,45,Male,0
23734,11/2/2021 23:13,Clothing,14,1,5020,Credit Card,18,1,Cheryl Espinoza,18,Male,0
23734,9/21/2022 19:10,Electronics,75,1,289,PayPal,18,0,Cheryl Espinoza,18,Male,0
23734,2/9/2020 15:44,Books,283,5,2673,Cash,18,0,Cheryl Espinoza,18,Male,0
23734,6/19/2021 6:41,Clothing,31,4,4894,Cash,18,1,Cheryl Espinoza,18,Male,0
16921,1/24/2023 16:52,Books,51,3,1881,PayPal,54,1,Cheyenne James,54,Male,0
16921,2/4/2020 14:27,Clothing,350,2,1752,Cash,54,1,Cheyenne James,54,Male,0
16921,1/7/2021 0:04,Home,66,1,2892,Cash,54,0,Cheyenne James,54,Male,0
16921,3/21/2022 7:29,Home,47,3,4714,PayPal,54,1,Cheyenne James,54,Male,0
16921,4/22/2021 22:10,Electronics,500,2,988,Cash,54,1,Cheyenne James,54,Male,0
16921,12/31/2020 10:48,Home,249,2,3171,Credit Card,54,1,Cheyenne James,54,Male,0
7796,9/16/2022 13:46,Clothing,195,1,3818,PayPal,21,1,Lisa Dennis,21,Male,0
7796,10/22/2022 12:12,Electronics,145,2,2134,PayPal,21,0,Lisa Dennis,21,Male,0
7796,11/12/2020 20:33,Home,381,3,368,Cash,21,1,Lisa Dennis,21,Male,0
